Institution,CourseNumber,LaunchDate,CourseTitle,Instructors,CourseSubject,Year,Participants,PercentAudited,PercentCertified,PercentCertifiedAudited,PercentPlayedVideo,PercentPosted,PercentGradeHigherThanZero,TotalCourseHours,MedianHoursCertification,MedianAge,PercentFemale,PercentBachelorOrHigher
MITx,6.00.1x,2013-10-16,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",CS,2,57147,14.43,8.71,60.23,76.86,9.47,43.16,523.56,53.05,28.0,17.05,62.73
MITx,2.03x,2013-10-28,Dynamics and Control I,David Gossard,STEM,2,18424,11.28,2.16,19.1,61.3,3.16,19.71,60.99,43.14,25.0,11.4,58.89
HarvardX,SW12.1x,2013-10-31,The Political and Intellectual Foundations of China,"Peter Bol, Bill Kirby",HHDRE,2,47384,17.39,7.8,44.26,78.7,12.61,32.62,145.08,13.89,29.0,40.78,74.91
HarvardX,PH201x,2013-11-15,Health and Society,Ichiro Kawachi,GHSS,2,20914,27.02,15.89,58.81,66.94,12.98,43.94,99.29,17.8,30.0,52.62,73.95
HarvardX,CS50x,2014-01-01,Introduction to Computer Science,David Malan,CS,3,259577,8.82,0.47,5.24,72.41,0.0,0.0,853.36,0.0,27.0,22.11,54.82
HarvardX,SW12.2x,2014-01-02,The Creation and End of a Centralized Empire,"Peter Bol, Bill Kirby",HHDRE,2,12856,34.03,20.54,56.74,75.9,20.89,43.29,68.25,13.77,33.0,39.41,79.35
HarvardX,HDS1544.1x,2014-01-05,Early Christianity: The Letters of Paul,Laura Nasrallah,HHDRE,2,33784,14.52,4.59,31.59,70.79,16.74,15.68,101.83,19.41,38.0,40.65,74.15
HarvardX,AI12.2x,2014-01-15,Poetry in America: Whitman,Elisa New,HHDRE,2,8685,21.2,4.47,21.11,68.6,19.66,14.22,19.6,13.21,32.0,54.46,72.49
MITx,21W.789x,2014-02-04,Building Mobile Experiences,"Frank Bentley, Ed Barrett",CS,2,25886,5.15,0.39,7.58,59.55,6.37,15.02,40.13,26.4,29.0,15.73,72.27
MITx,14.73x,2014-02-04,Challenges of World Poverty,"Esther Duflo, Abhijit Banerjee",GHSS,2,11102,16.44,10.57,64.16,70.88,11.33,35.45,84.99,42.26,29.0,48.52,78.8
MITx,6.041x,2014-02-04,Introduction to Probability: The Science of Uncertainty,John Tsitsiklis,STEM,2,26364,11.1,2.25,20.23,65.57,3.98,17.78,224.14,120.16,28.0,16.46,73.15
HarvardX,SW12.3x,2014-02-13,Cosmopolitan Tang: Aristocratic Culture,"Peter Bol, Bill Kirby",HHDRE,2,7422,43.43,30.01,63.18,77.16,29.14,50.29,33.76,8.99,34.0,41.03,79.4
MITx,12.340x,2014-02-19,Global Warming Science,Kerry Emanuel,STEM,2,7905,21.43,5.72,26.68,66.36,9.73,33.57,55.04,42.54,30.0,29.33,76.36
MITx,6.00.1x,2014-02-19,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",CS,2,21063,18.82,9.12,48.4,74.21,9.28,43.66,188.51,48.42,27.0,16.49,63.46
HarvardX,SW25x,2014-02-25,Global Health: Case Studies from a Biosocial Perspective,"Arthur Kleinman, Paul Farmer, Salmaan Keshavjee, Anne Becker",GHSS,2,8256,27.8,15.35,55.21,62.97,21.56,39.12,39.34,18.49,30.0,58.9,80.59
MITx,15.071x,2014-03-04,The Analytics Edge,Dimitris Bertsimas,GHSS,2,31391,15.23,5.7,37.43,73.93,6.68,21.51,313.27,81.94,31.0,19.0,87.62
MITx,16.110x,2014-03-05,Flight Vehicle Aerodynamics,Mark Drela,STEM,2,11883,5.82,0.85,14.6,47.62,2.95,6.19,34.28,112.92,25.0,8.52,60.98
MITx,6.00.2x,2014-03-05,Introduction to Computational Thinking and Data Science,"Eric Grimson, John Guttag",CS,2,13148,19.11,11.42,59.63,69.27,7.33,32.57,97.28,38.44,29.0,12.1,74.21
HarvardX,GSE1x,2014-03-11,Unlocking the Immunity to Change,"Robert Kegan, Lisa Lahey",HHDRE,2,39319,10.34,4.71,45.56,66.34,23.15,42.36,159.84,25.29,36.0,53.63,80.08
MITx,15.390x,2014-03-18,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,GHSS,2,36330,25.32,5.62,20.34,73.84,15.46,10.48,108.97,10.46,30.0,24.91,74.9
HarvardX,SW12.4x,2014-03-20,A New National Culture,"Peter Bol, Bill Kirby",HHDRE,2,6753,37.81,26.49,62.19,76.01,22.71,45.74,34.82,11.42,34.0,39.49,80.78
HarvardX,BUS5.1x,2014-03-31,Innovating in Health Care,"Regina Herzlinger, Margo Selzer",GHSS,2,12621,19.76,4.77,23.02,59.76,0.0,7.64,27.85,11.15,32.0,34.51,86.02
MITx,JPAL 101x,2014-04-01,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland",GHSS,2,7382,27.72,13.28,47.9,65.09,16.82,34.69,46.04,21.46,32.0,48.64,90.32
HarvardX,PH525x,2014-04-07,Data Analysis for Genomics,Rafael Irizarry,GHSS,2,13708,26.43,4.75,17.98,70.94,3.77,34.62,58.19,25.79,31.0,32.34,89.69
HarvardX,HSPH210x,2014-04-07,United States Health Policy,John McDonough,GHSS,2,10225,15.18,7.47,49.23,58.94,10.05,29.84,47.9,26.57,30.0,48.99,82.13
HarvardX,ER22.1x,2014-04-08,Justice,Michael Sandel,HHDRE,2,35409,13.47,7.02,45.69,67.31,19.05,17.85,145.01,20.13,29.0,42.0,67.17
MITx,6.SFMx,2014-04-08,Street Fighting Math,"Sanjoy Mahajan, Isaac Chuang",STEM,2,27882,12.42,2.03,16.37,66.49,5.74,20.52,56.9,28.32,29.0,15.83,66.85
HarvardX,SW12.5x,2014-04-24,From Global Empire to Global Economy,"Peter Bol, Bill Kirby",HHDRE,2,5256,50.44,32.1,62.21,75.32,28.69,48.95,24.76,9.09,35.0,35.65,82.04
MITx,MAS.S69x,2014-05-12,Big Data and Social Physics,Sandy Pentland,GHSS,2,30456,31.17,13.31,36.14,64.8,4.67,13.31,34.79,2.1,30.0,19.61,81.37
MITx,3.091x,2014-05-12,Introduction to Solid State Chemistry,Michael Cima,STEM,2,5854,9.09,4.6,50.19,72.02,6.01,26.84,55.2,89.94,26.0,26.12,55.19
HarvardX,SW12.6x,2014-05-22,The Last Empire,"Peter Bol, Bill Kirby",HHDRE,2,5446,41.24,30.09,63.73,76.75,24.22,49.72,31.69,11.7,35.0,39.03,80.56
MITx,8.MREV,2014-05-29,Mechanics Review,David Pritchard,STEM,2,12939,5.83,3.88,66.58,13.25,6.01,17.97,86.76,80.06,25.0,15.8,53.49
HarvardX,USW30x,2014-06-02,Tangible Things,Laurel Ulrich,HHDRE,2,10737,23.78,10.17,42.75,74.69,27.55,34.06,22.82,7.34,34.0,62.62,74.88
MITx,2.01x,2014-06-03,Elements of Structures,Simona Socrate,STEM,2,6140,17.28,5.42,31.29,70.07,9.54,18.66,62.01,78.56,26.0,14.23,64.26
MITx,6.00.1x,2014-06-11,Introduction to Computer Science and Programming,"Eric Grimson, John Guttag",CS,2,22148,20.14,10.42,51.7,76.74,10.81,48.86,232.93,49.69,27.0,18.31,61.96
MITx,7.QBWx,2014-06-12,Quantitative Biology Workshop,Marry Ellen Wiltrout,STEM,2,5092,20.17,7.7,38.17,67.07,12.02,26.1,39.96,36.44,29.0,35.59,76.43
MITx,7.00x,2014-06-17,Introduction to Biology: Secret of Life,Eric Lander,STEM,2,15627,15.08,6.02,39.71,73.58,14.57,24.62,182.26,70.28,28.0,42.1,59.85
HarvardX,GSE2x,2014-07-08,Leaders of Learning,Richard Elmore,HHDRE,2,36805,21.07,10.71,50.85,73.66,20.46,30.58,103.05,12.71,31.0,45.7,77.57
MITx,6.002x,2014-08-25,Circuits and Electronics,"Anant Agarwal, Gerald Sussman, Piotr Mitros, Chris Terman, Bonnie Lam",STEM,3,19263,6.75,2.5,36.38,64.03,4.96,15.98,129.34,95.58,25.0,11.93,56.39
MITx,6.00.1x,2014-08-27,Introduction to Computer Science and Programming,Eric Grimson,CS,3,21017,19.71,10.12,51.34,76.87,9.7,50.09,206.46,48.26,27.0,16.77,65.39
HarvardX,HUM2.1x,2014-09-02,The Ancient Greek Hero in 24 Hours (Hours 1-5): Epic and Lyric,Gregory Nagy,HHDRE,3,7304,25.11,10.62,42.25,68.7,4.47,18.79,17.31,8.99,34.0,50.14,72.97
HarvardX,VJx,2014-09-03,"Visualizing Japan (1850s-1930s): Westernization, Protest, Modernity",John W. Dower,HHDRE,3,8493,25.18,13.94,55.36,50.77,14.16,38.2,20.45,8.54,31.0,44.27,74.67
MITx,3.032x,2014-09-03,Mechanical Behavior of Materials,Lorna J. Gibson,STEM,3,11841,12.94,4.24,32.77,62.87,4.9,13.95,81.04,63.12,25.0,15.99,65.85
MITx,3.091x,2014-09-03,Introduction to Solid State Chemistry,Michael Cima,STEM,3,5245,7.0,3.13,44.69,65.43,9.4,20.29,38.86,93.19,26.0,24.62,60.54
HarvardX,SW12.7x,2014-09-04,"Invasions, Rebellions, and the end of Imperial China","Peter Bol, Bill Kirby",HHDRE,3,4662,46.1,32.3,61.45,80.08,33.98,52.26,22.93,8.68,38.0,36.13,82.25
HarvardX,1368.1x,2014-09-08,"Saving Schools: History, Politics, and Policy of U.S. Education – History and Politics in U.S. Education",Paul Peterson,HHDRE,3,3853,25.16,10.15,40.35,67.67,16.02,31.5,9.36,10.2,32.0,55.93,81.88
HarvardX,AMPOx.1,2014-09-10,Poetry in America: The Poetry of Early New England,Elisa New,HHDRE,3,2820,46.41,5.44,11.72,70.15,19.12,22.35,7.68,13.08,32.0,56.2,68.15
HarvardX,HUM2.2x,2014-09-14,The Ancient Greek Hero in 24 Hours (Hours 6-11): Signs of the Hero in Epic and Iconography,Gregory Nagy,HHDRE,3,2310,36.45,22.15,60.79,47.87,5.0,32.67,6.77,4.8,35.0,50.72,69.74
HarvardX,GSE1.1x,2014-09-16,Unlocking the Immunity to Change: A New Approach to Personal Improvement,"Robert Kegan (Bob), Lisa Lahey",HHDRE,3,13305,13.53,5.26,38.88,65.64,22.34,38.16,51.77,20.99,37.0,56.79,80.95
HarvardX,PH555x,2014-09-16,Improving Global Health: Focusing on Quality and Safety,Ashish K. Jha,GHSS,3,9010,24.07,16.6,68.98,58.71,22.92,39.8,40.6,15.92,31.0,50.13,82.7
MITx,8.EFTx,2014-09-16,Effective Field Theory,Iain Stewart,STEM,3,7093,4.02,0.17,4.21,57.48,1.97,3.0,16.85,107.09,27.0,11.17,72.54
MITx,4.605x,2014-09-23,A Global History of Architecture,Mark Jarzombek,HHDRE,3,7052,15.5,7.7,49.68,61.06,7.54,30.01,54.46,51.76,29.0,51.44,74.88
HarvardX,AT1x,2014-09-30,AnatomyX: Musculoskeletal Cases,Trudy Van Houten,STEM,3,26086,17.78,6.07,34.14,74.36,2.73,34.46,88.43,15.3,27.0,49.05,62.09
MITx,ESD.SCM1x,2014-09-30,Supply Chain and Logistics Fundamentals,Chris Caplice,GHSS,3,25600,19.91,8.53,42.82,73.89,16.59,19.88,255.4,61.42,30.0,22.96,84.04
MITx,24.00x,2014-09-30,"Introduction to Philosophy: God, Knowledge and Consciousness",Caspar Hare,HHDRE,3,20109,19.64,2.43,12.36,70.61,14.78,27.84,65.35,33.14,28.0,33.46,62.77
MITx,JPAL 101x,2014-10-01,Evaluating Social Programs,Rachel Glennerster,GHSS,3,5321,29.28,10.62,36.26,65.42,10.92,36.68,26.71,22.16,31.0,51.09,91.41
MITx,6.832x,2014-10-01,Underactuated Robotics,Russ Tedrake,STEM,3,11074,14.44,1.23,8.51,67.84,3.75,8.39,41.65,61.21,25.0,8.03,61.38
HarvardX,HUM2.3x,2014-10-08,The Ancient Greek Hero in 24 Hours (Hours 12-15): Cult of Heroes,Gregory Nagy,HHDRE,3,1559,44.85,26.83,59.54,43.18,2.9,33.72,3.2,1.77,34.0,49.65,66.91
MITx,11.132x,2014-10-08,Design and Development of Educational Technology,Eric Klopfer,HHDRE,3,15942,21.84,10.22,35.97,67.16,0.01,10.31,44.73,7.46,33.0,38.67,83.01
HarvardX,SW12.8x,2014-10-09,Creating China: The Birth of a Nation,"Peter Bol, Bill Kirby",HHDRE,3,4515,46.13,33.87,62.85,78.36,31.46,51.05,23.92,9.54,37.0,35.67,82.68
MITx,6.00.2x,2014-10-21,Introduction to Computational Thinking and Data Science,Eric Grimson,CS,3,11690,19.08,10.77,56.34,71.12,7.7,35.32,81.0,38.46,29.0,12.67,74.6
HarvardX,HUM2.4x,2014-10-22,The Ancient Greek Hero in 24 Hours (Hours 16-21): The Hero in Tragedy,Gregory Nagy,HHDRE,3,1615,38.35,23.37,60.78,40.89,4.6,31.95,3.63,1.42,33.0,49.72,68.89
HarvardX,AMPOx.2,2014-10-22,"Poetry in America: Nature and Nation, American Poetry, 1700-1850",Elisa New,HHDRE,3,1911,34.7,7.82,22.54,67.98,15.12,22.26,6.58,13.19,37.0,59.38,75.54
MITx,11.126x,2014-10-22,Introduction to Game Design,Eric Klopfer,HHDRE,3,25569,12.55,5.79,29.88,63.42,0.0,6.31,50.33,7.51,26.0,17.99,57.7
HarvardX,1368.2x,2014-10-27,"Saving Schools: History, Politics, and Policy in U.S. Education – Teacher Policies",Paul Peterson,HHDRE,3,1275,40.5,23.86,58.72,59.65,21.43,42.23,3.28,5.93,35.0,52.7,85.23
HarvardX,SW47.1x,2014-10-30,Entrepreneurship and Healthcare in Emerging Economies,Tarun Khanna,GHSS,3,10332,9.39,5.79,61.71,43.82,13.03,18.15,17.21,10.41,28.0,36.96,78.58
HarvardX,HUM2.5x,2014-11-12,The Ancient Greek Hero: Plato and Beyond,Gregory Nagy,HHDRE,3,2201,31.55,16.68,52.74,43.41,3.41,24.0,2.41,1.52,34.0,46.57,71.9
MITx,9.01x,2014-11-18,"Light, Spike, and Sight: The Neuroscience of Vision",Sebastian Seung,STEM,3,7000,19.97,7.21,35.48,69.4,8.1,24.7,18.49,9.19,29.0,33.89,70.22
HarvardX,SW12.9x,2014-11-20,Communist Liberations,"Peter Bol, Bill Kirby",HHDRE,3,4248,43.24,33.98,65.12,79.76,30.14,50.49,23.03,9.76,37.0,32.89,82.98
HarvardX,CS50x,2015-01-01,Introduction to Computer Science,David Malan,CS,3,301082,8.51,0.51,5.45,67.8,0.0,0.0,275.96,0.0,25.0,22.32,51.95
HarvardX,SW12.10x,2015-01-05,"Greater China Today: The People's Republic, Taiwan, and Hong Kong","Peter Bol, Bill Kirby",HHDRE,3,5864,21.19,21.46,64.17,77.05,24.6,41.39,48.23,22.52,35.0,35.19,82.54
HarvardX,1368.3x,2015-01-05,"Saving Schools: History, Politics, and Policy of U.S. Education – Accountability and National Standards",Paul Peterson,HHDRE,3,1483,43.25,26.99,62.25,64.51,12.75,49.73,3.4,4.67,34.0,53.44,80.97
HarvardX,AMPOx.3,2015-01-07,Poetry in America: Walt Whitman,Elisa New,HHDRE,3,3879,26.98,5.68,21.05,73.53,14.46,16.45,9.2,12.34,33.0,55.37,71.38
MITx,6.00.1x,2015-01-07,Introduction to Computer Science and Programming Using Python,"Eric Grimson, John Guttag",CS,3,49529,18.02,9.57,53.07,77.76,8.91,49.04,485.67,48.96,27.0,17.44,67.27
MITx,15.S23x,2015-01-07,"Transforming Business, Society, and Self",Otto Scharmer,GHSS,3,21420,23.15,11.28,46.73,57.25,0.0,20.5,82.24,15.54,38.0,45.74,84.87
HarvardX,HLS2x,2015-01-08,ContractsX: From Trust to Promise to Contract,Charles Fried,GHSS,3,15433,24.65,14.55,59.03,72.64,0.01,34.11,68.16,16.15,30.0,33.73,77.3
MITx,8.MECHCx,2015-01-08,Advanced Introductory Classical Mechanics,David E. Pritchard,STEM,3,6980,8.18,2.88,35.2,57.66,6.63,17.61,76.36,172.7,24.0,15.44,48.64
MITx,15.390.1x,2015-01-09,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,GHSS,3,30780,25.84,8.74,32.13,75.53,15.29,13.53,110.41,12.23,29.0,21.78,72.88
MITx,15.390.2x,2015-01-09,Entrepreneurship 102: What Can You Do For Your Customer?,Bill Aulet,GHSS,3,13173,26.14,4.36,15.16,61.35,4.33,5.79,33.06,11.65,30.0,22.35,76.93
MITx,7.QBWx,2015-01-13,Quantitative Biology Workshop,Collaborative,STEM,3,4143,19.7,6.2,31.5,63.12,8.28,24.81,26.27,37.45,28.0,34.05,76.81
MITx,3.086x,2015-01-14,Innovation and Commercialization,Eugene Fitzgerald,GHSS,3,12208,7.25,1.97,27.23,62.0,6.36,31.41,36.51,41.75,29.0,20.45,76.75
HarvardX,PH525.1x,2015-01-19,Data Analysis for Genomics: Statistics and R for the Life Sciences,Rafael Irizarry,GHSS,3,28425,48.73,9.45,19.39,68.01,3.01,27.3,107.06,16.84,30.0,30.1,86.74
MITx,6.002x,2015-01-20,Circuits and Electronics,Anant Agarwal,STEM,3,22828,3.88,0.88,22.35,63.11,2.43,7.2,99.42,114.37,25.0,11.91,54.57
MITx,21W.789x,2015-02-02,Building Mobile Experiences,"Frank Bentley, Ed Barrett",CS,3,18454,3.95,0.24,6.17,58.24,3.89,10.65,24.59,41.23,28.0,17.2,71.79
MITx,14.73x,2015-02-03,The Challenges of Global Poverty,"Duflo, Banerjee",GHSS,3,7664,11.85,7.75,65.42,67.18,5.78,30.3,66.87,61.4,28.0,48.49,78.56
MITx,6.041x,2015-02-03,Introduction to Probability: The Science of Uncertainty,"John Tsitsiklis, Patrick Jailet, Dimitri Bertsekas",STEM,3,22537,10.15,1.82,17.92,65.99,2.6,14.47,217.1,167.72,27.0,16.63,73.49
MITx,6.341x,2015-02-03,Discrete-Time Signal Processing,"Oppenheim, Baran",STEM,3,7396,7.19,1.95,27.07,64.06,2.99,16.87,48.98,151.31,27.0,8.6,72.54
HarvardX,1368.4x,2015-02-09,"Saving Schools: History, Politics, and Policy in U.S. Education",Paul Peterson,HHDRE,3,1465,39.48,25.96,64.71,62.91,19.06,45.22,3.16,4.86,35.0,51.5,81.63
HarvardX,SPU30x,2015-02-10,Super-Earths and Life,Dimitar Sasselov,STEM,3,7008,46.37,13.72,29.59,49.74,11.99,38.66,21.03,10.97,28.5,31.39,60.75
MITx,3.072x,2015-02-10,"Symmetry, Structure and Tensor Properties of Materials",Eugene Fitzgerald,STEM,3,5448,7.42,0.57,7.67,55.49,2.24,10.55,11.54,73.46,26.0,16.88,69.8
MITx,8.05x,2015-02-10,Mastering Quantum Mechanics,Barton Zwiebach,STEM,3,10932,10.91,3.59,32.94,71.33,8.03,16.57,187.44,251.82,26.0,12.81,64.49
HarvardX,EMC2x,2015-02-11,The Einstein Revolution,Peter Galison,HHDRE,3,11705,10.14,1.67,16.44,73.04,7.43,14.72,40.5,42.22,29.0,27.09,66.55
HarvardX,HKS211.2x,2015-02-12,"Central Challenges in American National Security, Strategy and the Press","Graham Allison, David Sanger",GHSS,3,6454,31.65,12.6,39.76,64.29,7.39,25.57,20.36,11.86,30.0,30.91,73.65
HarvardX,PH525.2x,2015-02-16,Introduction to Linear Models and Matrix Algebra,Rafael Irizarry,GHSS,3,12007,78.7,11.7,14.86,58.98,1.57,24.14,27.9,9.97,30.0,19.52,83.51
MITx,3.091x,2015-02-26,Introduction to Solid State Chemistry,Michael Cima,STEM,3,3661,5.19,1.78,34.21,65.61,4.89,15.6,29.49,133.54,26.0,23.97,59.58
HarvardX,PH525.3x,2015-03-02,Advanced Statistics for the Life Sciences,Rafael Irizarry,GHSS,3,9266,36.6,6.89,18.83,49.18,4.52,16.97,37.84,31.97,31.0,28.04,90.17
MITx,6.004.1x,2015-03-03,Computation Structures: Digital Circuits,"Chris Terman, Steve Ward, Silvina Hanono Wachman",CS,3,15530,15.22,5.18,33.81,64.37,5.71,14.92,126.65,72.18,26.0,10.5,59.24
MITx,15.071x,2015-03-03,The Analytics Edge,"Dimitris Bertsimas, Allison O'Hair",GHSS,3,26776,21.06,11.58,55.0,74.91,10.66,50.42,648.95,119.51,31.0,19.29,86.68
MITx,16.00x,2015-03-03,Introduction to Aerospace Engineering: Astronautics and Human Spaceflight,Jeffrey Hoffman,STEM,3,13525,26.9,6.54,24.33,70.59,10.03,24.39,121.16,47.06,24.0,15.5,52.15
MITx,6.00.2x,2015-03-04,Introduction to Computational Thinking and Data Science,Eric Grimson,CS,3,14835,17.52,11.16,63.6,70.27,6.42,31.27,159.01,63.36,28.0,14.67,75.51
HarvardX,HLS3x,2015-03-10,JuryX: Deliberations for Social Change,Charles Nesson,GHSS,3,4091,23.92,9.28,38.69,65.36,14.27,15.4,5.88,3.55,27.0,44.28,62.24
MITx,7.28.1x,2015-03-10,Molecular Biology: DNA Replication and Repair,"Stephen Bell, Tania Baker",STEM,3,7723,20.29,5.57,27.44,69.33,6.32,30.45,98.6,94.34,28.0,41.48,70.24
HarvardX,AMPOx.4,2015-03-18,Poetry in America: Emily Dickinson,Elisa New,HHDRE,3,5261,34.7,6.62,19.09,74.63,17.7,26.11,20.14,19.02,38.0,66.74,75.48
MITx,15.662x,2015-03-23,The American Dream for the Next Generation,Thomas Kochan,GHSS,3,5084,20.44,5.45,26.66,69.81,10.64,25.83,20.5,21.18,29.0,36.87,73.47
HarvardX,PH525.4x,2015-03-30,Introduction to Bioconductor,Rafael Irizarry,GHSS,3,4785,45.49,9.48,20.84,58.67,4.6,21.55,29.02,34.43,30.0,28.02,86.92
MITx,15.390.1x,2015-03-31,Entrepreneurship 101: Who Is Your Customer?,Bill Aulet,GHSS,3,25206,17.46,2.84,12.7,67.34,7.55,2.84,64.07,9.09,28.0,25.91,69.67
MITx,11.127x,2015-04-01,Design and Development of Games for Learning,Eric Klopfer,HHDRE,3,15282,19.71,3.36,17.03,60.42,0.01,16.08,36.12,16.89,30.0,27.19,72.15
MITx,JPAL 101x,2015-04-01,Evaluating Social Programs,"Rachel Glennerster, Marc Shotland",GHSS,3,3922,28.23,10.3,36.5,63.87,8.64,36.69,34.15,39.26,31.0,48.91,90.65
MITx,3.15x,2015-04-08,"Electrical, Optical and Magnetic Materials and Devices",Caroline Ross,STEM,3,10626,6.45,1.06,16.5,50.84,1.38,7.15,30.79,99.23,25.0,13.05,60.39
HarvardX,PH525.5x,2015-04-27,"Data Analysis for Genomics: Case Study, RNA Sequence Data Analysis",Rafael Irizarry,GHSS,3,4262,82.6,8.85,10.72,60.48,2.04,24.04,12.86,12.15,30.0,34.89,90.87
HarvardX,PH525.6x,2015-04-27,"Data Analysis for Genomics: Case study, Variant Discovery and Genotyping",Rafael Irizarry,GHSS,3,2428,77.02,8.64,11.21,59.01,3.51,18.64,8.35,15.58,30.0,35.8,87.88
